1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0.999999	0.996956
1	1
1	1
1	1
1	1
1	1
1	1
1	0.999886
1	1
1	1
1	1
1	1
1	0.999591
1	1
1	1
1	0.995858
1	1
1	1
1	0.999124
1	1
1	1
0.999999	0.995009
1	1
1	1
1	1
1	1
0.999999	0.994916
0.999997	0.995924
1	1
1	1
1	0.995924
1	1
1	1
1	1
1	1
1	0.998836
1	1
1	1
1	1
1	1
0.999999	0.998252
1	1
1	1
1	0.995102
1	1
1	1
1	0.99126
1	1
1	1
1	1
1	1
1	0.994346
1	1
1	1
0.999999	0.999073
1	0.999999
1	1
1	1
1	1
1	0.997224
1	1
1	1
0.999998	0.994943
1	1
1	1
0.999999	0.99793
1	1
1	1
0.999999	0.998842
1	1
1	1
0.999961	0.992847
1	1
1	1
0.999986	0.996552
1	1
1	1
0.999998	0.99736
1	1
1	1
1	1
1	1
0.999996	0.997809
1	1
1	1
0.999995	0.999041
1	1
1	1
0.999998	0.995995
1	1
1	1
0.999998	0.996684
1	1
1	1
0.999996	0.999847
1	0.998067
1	1
1	1
1	1
1	1
0.999962	0.999742
1	1
1	1
1	1
1	1
1	0.99794
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0.999997	0.998695
1	1
1	1
0.999946	0.999364
1	1
1	1
1	1
1	1
1	1
1	1
1	0.986613
1	0.99149
1	1
1	1
1	1
1	1
1	1
1	1
1	0.98344
1	0.999999
1	1
0.999997	0.99717
1	0.999999
1	1
0.999999	0.990908
1	0.999999
1	1
0.999999	0.996885
1	0.999999
1	1
0.999996	0.997901
1	0.999999
1	1
0.999999	0.998386
1	0.999999
1	1
0.999989	0.998357
1	0.999999
1	1
1	0.999999
1	1
0.999999	0.996701
1	0.999999
1	1
0.999999	0.986672
1	1
1	1
1	0.976259
1	0.999999
1	1
1	0.985563
1	0.999999
1	1
1	0.999999
1	1
1	0.983542
1	0.999999
1	1
0.999999	0.995951
1	0.999999
1	1
1	0.989939
1	1
1	1
0.999999	0.99493
1	1
1	1
1	1
1	1
0.999999	0.981855
1	1
1	1
0.999999	0.985679
1	1
1	1
0.999999	0.992506
1	1
1	1
1	1
1	1
0.999975	0.992066
1	1
1	1
1	1
1	1
1	1
1	1
0.999998	0.993624
1	1
1	1
0.999997	0.992995
1	0.99687
1	1
1	1
0.999999	0.992994
0.999998	0.994258
1	1
1	1
0.999998	0.998952
1	1
1	1
0.999998	0.99265
1	1
1	1
0.999997	0.993117
1	1
1	1
0.999999	0.994332
1	1
1	1
0.999996	0.997257
1	1
1	1
0.999996	0.998524
1	1
1	1
1	0.997021
1	1
1	1
0.999997	0.998192
1	1
1	1
0.999996	0.998915
1	1
1	1
0.999999	0.993864
1	1
1	1
0.999999	0.996782
1	1
1	1
0.999998	0.997736
1	1
1	1
0.999999	0.998126
1	1
1	1
0.999999	0.997694
1	1
1	1
0.999995	0.997619
1	1
1	1
0.999998	0.998666
1	1
1	1
1	1
1	1
1	1
1	1
0.999995	0.998585
1	1
1	1
1	1
1	1
0.999998	0.998398
1	1
